index,no_vehicle_avail_%,below_poverty_level_%,exp_perpupil_USD,debt_pervaluation_%,homeless_Shelters_per_1000,median_owner_home_USD,median_sale_homes_USD,unemployment_rate,race_Wh_%,race_Afam_%,race_Alaska_%,race_Asian_%,race_Hawaii_%,race_Other_%,race_Two_%,race_Hisp_%,labor_force_rate,emp_rate,emp_business_%,emp_computer_%,emp_legal_%,emp_healthcare_%,emp_healthsupport_%,emp_protective_%,emp_foodprepare_%,emp_clean_%,emp_personalcare_%,emp_sales_%,emp_admin_%,emp_farm_%,emp_construct_%,emp_repair_%,emp_production_%,emp_transport_%,emp_material_%,occ_lt0.5_%,occ_0.5to1.0_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%,owner_homes_%,moved_lastyear_%,house_noplumbing_%,house_nokitchen_%,age_lt18_%,house_lt1939_%,house_1940to1999_%,house_2000to2014_%,poverty_child_%,house_income_gt30_USD_%,median_household_income_USD,median_earnings_retail_USD,gross_rent_%,comm_car_%,comm_carpool_%,comm_bus_%,comm_walk_%,comm_cycle_%,comm_taxi_%,comm_wfh_%,income_capita_USD,households_recfoodstamps_%,gini_index,lep_%,exemplary_%,proficient_%,need_improve_%,unsatis_%,read_write,math,dropout_%,college_%,property_val_USD,tobbaco_retailers_2019_%,licensed_nurses_per1000,pop_bachelorsdegree_%,preschool_%,health_insurance_coverage_%,public_school_%,private_school_%,liquor_per1000,supermarket_per1000,food_est_per1000,dentists_per1000,young_females_%,physician_assisted_%,pa_provider_density_per10000,median_age,lt5years_%,renter_occupied_%,english_verywell_%,snap_%,physicians_per1000,pcp_per1000,psychiatrist_per1000,psychologist_per1000,pharmacist_per1000,registerednurses_per1000,advancedprn_per1000,population_density,rural_population_%,risk_per1000,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,avg_ela,avg_math,students_disabilities_%,students_highneeds_%,students_econodisadv_%,student_teacher_ratio,print_media_circ_%,libraries_%,crimes_against_persons_%,crimes_against_property_%,crimes_against_society_%,emp_pop_ratio_wh_only,emp_pop_ratio_hisp,less_than_highschool_%,highschool_grad_%,associates_degree_%,bachelors_degree_%,vacant_rentals_%,employed_male_%,employed_female_%
Abington,-0.1445137537,-0.7924316037,-0.6417153474,0.4842741368,-0.3112402768,-0.2385486792,-0.2609837822,0.4748462654,0.04970149786,0.07765622587,-0.1543143814,-0.1632817947,-0.1859736972,-0.09379445188,-0.1875186008,-0.3530207994,1.195377892,1.031694341,-0.3869590664,-0.1389584384,-0.8814123374,0.9452956567,0.08705353746,0.5625407672,0.6868763685,0.2356602619,0.1096097291,-0.5560517227,1.676292114,-0.5797844516,-0.003927090899,0.1771759115,-0.457169465,0.03276145026,-0.7498540281,-0.9712038881,0.9825452721,0.8215533018,-0.002450125025,-0.3918414363,-0.442299485,0.4018781446,-0.2015148918,-0.2430856852,-0.08784524291,0.4875698517,-0.8001121432,0.6635801587,-0.6990221165,-0.07555480509,0.2010890731,0.03237001622,-0.528660235,0.06174454363,1.204781063,1.071484646,-0.5694059435,-0.2991801517,-0.09854644193,-1.153847139,-0.2131383604,0.04413772021,-0.9544486832,0.03878018624,-0.215170275,0.3443815863,-0.7030139376,0.6035810946,-0.3059824949,-0.6153710653,-0.06636346991,-0.5786619947,-0.1454585396,0.970839812,0.1107634058,-0.744591377,0.04756850426,0.2541298658,-0.4828868279,0.1013524665,-0.165109938,-0.1281862445,-0.1363942719,-0.6112999753,0.1951201921,-0.5015598828,-0.5544566089,-0.9062967472,1.273896155,0.6713311319,-0.3394363182,-0.1953285725,-0.4619575099,-0.1465845533,-0.3382430168,-0.5637509568,0.3267813579,-0.4304228171,0.09997567224,0.1421971705,,0.4917051443,-0.6851960346,-0.2621735481,1.703457442,0.1688424622,-0.08763267268,0.3562642846,0.1447611488,-0.3730620207,-0.1302203758,-0.4534349005,0.5262652084,-0.2835794417,-0.0430070227,-0.1668924157,-0.5351900779,-0.2323810301,-0.1381034234,2.242314601,-0.3004173159,-0.3839223859,-0.04924743322,-0.2248251695,0.107335302,1.028998645,-0.6064993207,-0.1528434297,-0.08587915797,1.429336786,-0.4882045043,2.300121344,-0.5122201841,0.5122201841
Acton,-0.5397682541,-0.7503842125,,-0.473648441,-0.3112402768,1.115671515,0.4805703899,-0.6014427329,-1.84513113,-0.01387010439,-0.1543143814,4.017341048,0.9108886766,-0.3386940331,-0.324168653,-0.3646068395,0.4611476148,0.5931167882,0.7573542088,3.778926165,0.6601105862,-1.167797662,-0.7682705368,-0.9952404517,-0.9541528924,-0.6783935461,-0.7943828701,-0.3519847002,-1.378514421,-0.5797844516,-1.418710276,-1.341642546,-1.039376871,-1.330046877,-0.8648994411,-0.1271371565,0.160108617,0.3259459373,-0.603775346,-0.3918414363,0.1250675174,0.7627137948,-0.2971584065,-0.2843936583,1.038103755,-1.226644876,1.213258285,0.2617919308,-0.9941185959,-0.9188711981,1.685909109,-0.6084353247,-0.847992773,0.04126029522,-1.099233781,0.3211366087,-0.3967500873,-0.2991801517,-0.5789603464,0.04060391097,1.332029175,-0.5302604713,-0.4133555765,0.5364175438,-0.1846953893,0.382251326,-0.8055094276,-0.3685583675,2.625304201,2.953758934,-0.8208113383,1.202871771,0.1132059096,-0.2986573437,-0.05365215068,2.042495146,0.4457061511,1.272290652,0.9869306709,0.1873118716,-0.2060717173,-0.1474646183,-0.1453856896,0.6834768548,-0.1136031555,-0.5015598828,-0.5544566089,-0.3054157446,0.5940740326,-0.03346328135,0.7587367766,-0.655007957,0.3282789624,1.110919359,0.04876873989,0.8237862724,0.8856444484,-0.1049251668,-0.09634367688,-0.0863312343,-0.8129093038,-0.7655882818,0.3636528447,0.128630739,1.512422026,-0.3977958797,-1.02095532,0.1658950912,0.2806652965,-0.2716801925,0.2621174088,-0.9509792277,0.8507132555,-0.3018396479,-0.2251148844,-0.6340954023,1.709652079,1.188067567,1.560719144,1.098127708,1.322428118,-0.2944860034,-0.4612553497,-0.3392870863,-0.4947352566,0.35005806,0.7252340238,-0.8799171099,-1.932254325,-1.868477859,2.031275197,2.856354904,0.3369200196,-0.3369200196
Acushnet,-0.5397682541,-0.6873131257,-1.213723967,-0.3046032802,-0.3112402768,-0.6460821862,-0.558239258,0.3210906942,0.4795605086,-0.6122130387,-0.1543143814,-0.5655475225,-0.1859736972,0.5979811342,-0.03881210248,-0.3781838534,-0.3779727021,-0.4243831338,-1.461908481,-0.3365158724,-0.2907504881,0.160351427,0.1765746824,0.6749946189,-0.3420681978,-0.6787611527,0.5088297038,-0.09252098331,-0.258339839,1.860531692,1.340189829,1.249217997,1.695258339,-0.2346948189,1.481961655,-0.5982315673,0.1176780551,3.230443092,0.9071418686,0.1830831865,0.6880365907,-0.8596113117,-0.3482996744,-0.08479368081,-0.5425554153,-0.5379647235,1.101404372,-1.023930398,-0.8834574161,-0.3537642825,-0.5838855507,-1.349205563,-0.8143788216,0.9118408525,-0.4775154901,-0.6960018422,-0.1994291087,-0.4023355871,-0.6990638225,-0.8009411466,-0.7739734272,0.4708335196,-1.215371051,-0.2832204569,-0.6189625111,0.1929026277,1.996033965,-0.3685583675,,,,,-0.2370351634,-0.8064562059,-0.5848408715,-1.236064224,0.2588925853,-1.024272864,0.3027724246,-0.949128495,-0.1953187599,-0.1652562973,-0.1865262426,-1.039836731,0.191752301,-0.5015598828,-0.5544566089,-0.155195494,-0.7655702116,-0.8032163927,0.8165353605,0.06004886336,-0.7190223864,-0.880128502,-0.3382430168,-0.6818392317,-0.9968602352,-0.6602726852,-0.8354136854,-0.311264996,-0.05981453509,-0.3517600098,-0.5057876737,0.8642623383,1.184932741,-0.5977858827,-0.3581609762,-0.8811354723,1.843562995,-1.265222109,1.24296187,0.2489806203,1.283310652,-1.141809134,-0.2671397756,0.1575541027,-1.00632979,-0.2835683669,0.05270635771,0.422017272,-0.3970233884,-0.2579031551,-0.02087953056,-0.1155050511,-0.3617641905,-0.5968853877,1.569535556,1.689819842,1.433988711,0.52928085,-1.42059636,-0.5132799049,0.9382025802,-0.9382025802
Adams,0.2178028717,0.7843455669,,-0.4173000541,1.02855251,-1.067265141,-0.5937324492,0.6798536937,0.6777735469,-0.3880290392,-0.1135610105,-0.6267452327,-0.1859736972,-0.4518898708,-0.6658235601,-0.448361642,-0.308046009,-0.4243831338,-1.310311274,-1.034398317,-0.6056848477,-1.663768373,0.8325660048,-0.2368557092,-0.09084127774,0.6915750416,1.669930321,1.156538796,1.812438612,0.7745435909,0.8619465931,0.4648370085,0.5716907813,-0.01081351873,0.02372085325,0.6718349166,-0.6398996963,-0.2663843133,-0.603775346,-0.3918414363,-0.6884995235,0.3916104222,0.3430989194,0.1845574571,-0.2610681657,1.857444503,-1.367985854,-1.706970386,1.046965387,-0.7775044519,-1.27653098,-0.01545127788,0.1268118165,0.7684511137,0.4002044507,-0.6293042389,-0.1994291087,-0.2991801517,-0.5789603464,-0.6109148433,-1.058707514,1.012408957,-0.522429681,-0.1661293139,-0.1694579464,0.2534942111,-0.2930319777,-0.3685583675,-1.080284641,-0.9267716693,1.291642693,-0.8977426692,-0.3087136536,-0.1293910563,-0.2749807843,-1.298275977,-0.2283474854,0.4997247287,-0.4632967645,-0.7532213541,-0.1006485124,-0.1730929896,-0.1931606033,-1.039836731,-0.01256642355,-0.5015598828,-0.5544566089,-0.08008536866,0.03785593272,0.691397574,-0.4357672914,1.592313478,-0.3708878274,0.1356777495,-0.3382430168,-0.5637509568,-0.07343209019,-0.4595372397,-0.4366227237,-0.3890662952,-0.687393509,0.5140571425,0.6396657077,-0.7219432976,0.1205925644,-0.4311275469,-0.08763267268,-1.404650754,0.7053657581,0.5799271641,0.7665517034,0.6001883806,1.103061737,-0.5392223286,1.035631851,1.208760822,-3.278886047,-1.102565756,-1.073686867,-0.3061016593,-0.5092366258,-0.1614543086,0.2183147917,0.3760871589,-0.1631100411,-0.3824830977,0.8340357676,1.128999781,1.545622555,0.459123273,-1.314857852,-0.2261722758,0.2668083304,-0.2668083304
Agawam,-0.2762652538,0.4269427416,0.03777334656,-0.2482548933,-0.3112402768,-0.7279788718,-0.5455631183,-0.4989390188,0.4385611455,-0.28920769,-0.1038330455,-0.1555520323,-0.1859736972,-0.2649148526,-0.4302147106,0.2573658131,-0.4828627417,-0.3542107254,-0.439780355,-0.5308753227,0.1912470455,-0.7639465544,0.6446876675,-0.2792184729,0.2276115079,0.02766992308,0.336799685,0.3081989566,0.433846018,-0.2693274772,-0.4256173064,0.5031792943,0.4445860952,1.413241245,0.1654845365,-0.1955123296,0.184546539,-0.554296241,1.191372351,0.4851972413,0.1203857102,-0.1991884677,-0.2806617557,0.2424748126,-0.08784524291,-0.9945896073,1.669278083,-1.144466867,0.518250861,-0.2092066166,-0.8479908117,0.07384579245,0.1604257679,0.8606302315,-0.3312288333,-0.5959554372,-0.5447408212,0.01028615453,0.5019709386,-0.8280877614,-0.7046709723,0.3067197506,-0.3192524275,-0.04903817098,-0.2913574894,0.4958605449,-0.8396745909,-0.3685583675,-0.361289791,-0.1362932131,-0.1418082567,0.1215428186,-0.03870625131,-0.01654686464,1.122551445,-0.856572532,0.9683144538,-0.5079218618,-0.02008654722,-0.09991267106,-0.1449721147,-0.1594830081,-0.1708604416,-0.2400542293,-0.04680664937,0.08641835064,0.111473311,0.1076899446,0.03785593272,0.2228057115,0.084419964,0.4175772735,-0.4735481968,-0.05531410807,-0.3382430168,-0.5440695777,-0.253288641,0.07967377007,-0.3099474563,-0.03815475265,-0.8294868616,-0.05855254599,0.3774534878,-0.3771159854,0.1478833381,-0.1978058767,-0.1282119182,-0.1196586988,0.4165694442,-0.2514038269,-0.6066305429,0.6001883806,0.7065141235,-0.3748804728,-0.5052808256,0.04075335604,-0.3689054737,0.1643208304,0.3050676812,-0.3581101544,0.09609490843,-0.4811911942,0.3846045706,0.9504025419,-0.2561177994,-0.1859476651,-0.9503128312,0.3122649211,0.1273918728,1.205017229,-0.6309263282,-0.5132799049,-0.5615110942,0.5615110942
Alford,0.05311349649,-0.5191235608,,-1.03713231,-0.3112402768,0.8816809847,,-1.318968732,1.19348963,-0.2591422023,-0.1543143814,-0.3992856472,-0.1859736972,-0.5140580147,-0.8534634229,-0.3879729142,-0.8849412268,-0.5471848485,2.770311596,0.01959173196,1.343522787,-0.9897854022,-0.8320479531,-0.5364949391,-1.695013528,3.138283258,-1.350957961,-0.5804218408,-1.218001733,-0.5797844516,0.2810086583,-0.7447163963,-1.493245542,0.03788341277,-1.23096276,2.13440972,-2.176337962,-0.8576877375,-0.603775346,-0.3918414363,1.151305816,-0.4185287952,-0.4297340837,-0.4390121292,-1.668504414,-0.1936246471,-0.4559462581,1.467156614,-1.104779776,0.1389655573,0.6945702651,0.04772800875,-0.3605904782,-1.331184348,1.643641033,0.1377181995,0.3185384601,1.041840509,0.6220744147,2.565239084,2.15027336,-0.6943742403,1.218478575,-0.6052211001,,,,,,,,,-0.3341943343,,-0.9516140358,0.6178460084,-0.8745656495,-0.8277894158,-1.888883775,-0.8406718065,,,,-1.039836731,-0.1652441518,-0.5015598828,-0.5544566089,2.511213955,-2.248818478,-0.9816305532,-0.6284292379,-0.2464040597,1.846658942,-0.880128502,8.890498874,1.355183509,-0.9968602352,-0.884352618,-0.8354136854,-0.5244645202,1.425060999,-0.6406092617,-0.7403986072,2.818283774,-1.380399992,0.135510795,-0.3040553155,2.890554171,-1.571028716,-1.386880302,-0.6907029253,-0.892444601,0.7065141235,-0.8679060404,,,,,,,,,,,,-0.8470213927,1.569535556,-0.488783391,-0.9145259149,0.1070242692,0.5816426698,-0.5132799049,0.4510104244,-0.4510104244
Amesbury,-0.04570012861,-0.5191235608,-0.02101372681,0.4279257499,-0.3112402768,-0.256097969,-0.2426033797,-0.1914278764,0.3798420437,-0.4130920069,-0.01153907634,-0.4451009097,-0.1859736972,-0.4264374087,-0.0137551598,-0.2836479886,0.8457444266,0.8562633198,-0.08313690107,0.5929988503,0.5370923536,-0.5490651926,0.02873329783,-0.2531500549,1.13321813,-1.014008059,-1.282723591,-0.3176221141,0.07619475106,0.3211616783,0.05130781148,0.05014618656,-0.008199618049,-0.8382223552,-0.5880496011,-0.5144320752,0.56583788,0.4902315557,-0.603775346,-0.3918414363,-0.3272031942,-0.069908689,-0.2863647007,-0.1527108719,0.2369477374,0.7570533896,-0.7312789662,-0.2203539426,-0.5637695634,0.7107998271,-0.257909847,-0.01296824915,-0.1252928187,0.1539236615,2.228787661,-0.4792346314,-0.3227547203,-0.09286928088,1.102488319,0.5020963619,-0.2932915997,-0.05433054119,-1.048551832,-0.5759483143,0.4781333757,-0.5039005819,0.2536106354,-0.3685583675,0.2747441146,0.3188307466,0.6880843985,0.4051700848,-0.1263412588,-0.3268683916,0.6925415285,0.05794023355,-0.1801529437,-0.8514565403,-0.03120258028,-0.4083223981,-0.2355144788,-0.1745583173,-0.1944011154,-0.210262904,-0.1051834278,-0.3065913942,-0.3194225195,-0.4180809326,0.4704700104,0.5465923439,-0.3972349021,-0.2974795468,-0.4006924508,-0.2801098343,0.01899860476,-0.2783709593,-0.1786105224,-0.1745152219,0.1742111294,0.006509721335,-0.9289522084,-0.1743596019,-0.8508037524,0.05966527661,0.4207910756,0.9021391399,0.2234748764,-1.452243052,0.5864496289,1.390981789,1.5792514,0.2489806203,-0.9517758951,-0.3748804728,-0.5753223109,-0.6340954023,0.8782290577,-0.1492016077,-0.06424157268,-0.2540931642,-0.1874460472,-0.3946538023,0.004097692779,-0.302262743,0.04144336086,0.9039306426,-0.2278692522,-0.02673550756,0.01174562942,0.07060244341,-0.02815853911,0.5887839857,-0.02141435553,0.02141435553
Amherst,0.8436224973,5.430582296,1.550277583,-0.4173000541,0.1730334442,-0.2677974955,0.4520490756,2.422416834,-0.4937507214,0.9256738883,0.2118431852,2.514310744,0.2470271149,-0.1288419635,0.7945143286,0.3331840125,-1.81146991,-2.178693344,-1.033231805,-0.1783887541,2.333292394,-1.707241825,0.5070650733,0.4769332725,3.353707109,-0.06788150639,2.869076901,0.3656447673,1.360605589,-0.196289146,-0.9391357181,-1.259666826,-0.8538396416,-0.9901414024,0.6245662771,-1.794865746,1.970069878,-0.2046195131,1.094894696,-0.3918414363,-3.808895621,7.96947387,-0.3153816098,-0.1985915586,-2.361396105,-0.3208807623,0.7228218985,-0.8230362845,1.600271285,-1.772691815,-1.261495721,-1.745294628,3.034418609,-3.133798208,0.07105947288,0.9047406378,4.7829256,2.58917204,0.02155703417,0.8821489685,-1.731218536,-0.03791916429,2.219393887,0.2729624722,0.8666881689,-0.9280416661,0.1511151455,0.4647040286,1.187314501,0.726046921,-0.2172530436,0.2722198038,-0.09870977586,-1.257832972,-0.369835913,1.650561104,-1.82326305,-0.4893067825,8.314256389,1.508541712,-0.1900246904,-0.1716634347,-0.1843122661,-0.2217211061,2.786712366,0.331791367,0.4248520968,-4.173587199,-1.630798367,2.396672754,0.2000171319,0.2813759744,-0.1423857149,0.1897639393,0.1083090102,1.532315921,-0.2082535401,-0.240396995,0.5694254971,0.02394580646,-0.8081728587,-0.8055778213,0.6948682803,-1.411597922,0.01142946935,-0.8311075529,0.4669503496,0.5823277017,0.5524735919,-0.6569311395,-0.6346546704,-0.7461080342,0.2739167273,-0.1557579983,-0.1690816962,-0.3485824661,0.8228008563,0.6314052789,0.4712568454,-1.606314037,0.8571107804,-0.333097984,-0.452899409,-0.7758519887,-0.2859811196,-2.097701418,-0.6108513905,-0.07313420781,-1.214722201,-1.203154041,1.169401987,1.836408085,0.3051309294,-0.3051309294
Andover,-0.1445137537,-0.6242420388,0.4127295744,-0.07920973248,-0.3112402768,1.279464886,0.8031781451,-0.3964353046,-1.141584852,-0.07431643401,-0.03037532121,1.728699129,-0.1859736972,-0.1177473885,-0.06714980772,-0.1165798415,0.02410578308,0.1194530314,1.219560862,1.755820168,0.5117668761,0.3252473643,-0.8553604235,-0.6635453495,-0.9731283705,-1.219282402,-0.43931962,-0.4168105733,-1.474027965,0.02946198176,-1.35916715,-1.310772637,-0.7234382881,-0.9979458453,-0.5021611043,0.1718068109,-0.1434140034,-0.1281601464,-0.603775346,0.2121906791,0.127871385,0.08352392144,-0.3447668339,0.07615828602,1.168020948,-0.06636853199,0.154948188,-0.2203539426,-0.6252479966,-0.9994743761,2.023990667,-1.070462597,-0.2429416485,-0.3376983003,-0.1483705123,0.03767179448,0.1952128485,0.01028615453,0.5019709386,0.4749497471,1.684956877,-0.7600197479,0.5533404085,0.3607808294,0.1657657968,-0.09490739369,-0.2930319777,-0.09080423548,1.076699909,1.013493632,-0.8208113383,1.043331434,0.5006840755,-1.314255068,0.3953287919,1.78742696,0.5364716101,0.892585537,0.7313416851,1.373353431,-0.2375506309,-0.15546156,-0.165257578,0.9011826935,0.05984323434,-0.5015598828,-0.5544566089,-0.155195494,0.03785593272,-0.2211577286,0.3348804944,-0.4847563331,0.1780139862,0.4382223736,-0.08519686821,0.3711145522,0.3025472155,0.3631913957,0.7748746661,-0.09756965883,-0.9431615436,-0.6744302184,1.108887575,0.4734580512,0.06601101685,-0.8977708872,-1.04800815,0.9273718647,-0.07608309124,-0.5149965801,-0.8588476902,0.3953171871,-0.735477197,-0.2105386169,0.9515820684,1.027070772,0.57337395,-0.6354813076,-1.018290478,0.1099663014,1.105893981,-0.5071483404,-0.6099029826,-0.476353813,0.04609965523,0.01058776741,-0.005913694782,-0.8501538828,-1.779466093,-1.77559522,1.902535965,0.8691343758,-0.4305561968,0.4305561968
Aquinnah,-0.7044576293,3.012857301,,-0.3046032802,-0.3112402768,6.326835617,5.047149715,1.44863155,-4.708325169,-0.5257145095,17.8841146,-0.6867391519,-0.1859736972,-0.3811250381,5.112604652,-0.5967702211,0.8457444266,0.4703150735,-0.8632030466,-1.301773311,-1.86413718,-2.516163034,-0.9101364901,0.1740918773,2.387488919,2.567262723,-0.3017728139,-1.770674296,-2.437736702,4.764530591,0.4438987655,-1.104796471,1.05928002,-0.8886221362,-1.23096276,-1.49465858,1.850183483,-0.8576877375,-0.603775346,-0.3918414363,-0.5763218015,-1.273168423,1.77551753,6.322456076,5.217106768,-1.061960492,0.1635523352,2.431448361,2.891318383,1.118161105,-0.2010158632,-0.9293897794,0.7654768924,-1.177552485,0.4002044507,0.6379502245,1.551794576,0.01028615453,0.2617639864,0.3120700586,-1.252199968,-0.579494602,1.870784494,-0.6052211001,,,,,,,,,0.7079414561,0.1104028509,-0.9516140358,0.06416140883,2.058410409,-1.75544626,1.926503488,0.7035400758,2.253007907,3.986440918,4.039872534,-0.4738015509,0.02055117192,-0.5015598828,-0.5544566089,-1.075294529,-1.198184289,1.208995321,-0.5513644593,-0.8593099057,0.1809116579,-0.880128502,-0.3382430168,-0.6818392317,-0.9968602352,-0.884352618,-0.8354136854,-0.5181429064,1.425060999,,-3.873144602,0.3355271263,1.730748216,-2.031047571,3.57802584,1.510377519,-1.808860975,0.07301802325,-2.316102319,-0.4827022139,-0.5912780649,1.652002416,,,,,,,,,,,,-0.7398202477,,1.614651265,-0.3213519762,-0.4316021758,-0.05029746949,-0.5132799049,-0.9394698398,0.9394698398
Arlington,0.6789331221,-0.456052474,-0.6212741647,1.498545102,-0.3112402768,0.7949094964,0.5262044928,-0.8064501611,-0.8476415013,-0.2389987827,0.04944313915,1.798293143,-0.1859736972,-0.2013304545,0.1673943701,-0.1196754666,0.8282627534,0.9790650345,0.5617556908,2.76017482,1.539691841,-0.6420073261,-0.9152795727,-0.7930619728,-0.1181516558,-1.05682236,-0.9447505353,-0.9925025247,-0.9594251907,-0.5797844516,-1.181737896,-1.30007966,-0.9902541039,-1.099192579,-0.7699595729,-0.3587470008,0.3611930766,0.5234716411,-0.213835369,-0.3918414363,-0.8457340845,0.5667539229,-0.2981196679,-0.2362334042,0.3019063334,1.790073619,-1.419610737,-1.48598686,-0.6375436833,-1.203916178,0.6228880808,0.3563592838,-0.7303439432,-1.925227552,-0.3312288333,2.705575928,-0.02677325244,3.001793781,-0.3387533941,0.04060391097,1.022504611,-0.5302604713,0.1747891046,0.3607808294,-1.182747897,1.260829286,-0.3613623044,-0.09080423548,1.353236389,0.9895397398,-0.5944769778,0.5115303096,-0.2986026217,,-0.9516140358,1.607012877,1.668787528,0.9026537684,-0.9464478768,0.8037893614,-0.2874419922,-0.2087604639,-0.2233558536,-1.039836731,-0.3089408372,-0.1314194915,-0.1235607784,-0.3617483386,1.273896155,1.182972095,0.2770819105,-0.5528569827,-0.03434395525,0.2303285816,0.3018148885,2.417977982,-0.1560756148,-0.4486982688,-0.4149814193,2.895074051,-0.9431615436,-0.6059299714,0.8328747117,0.3815041013,-0.6708398745,0.06884746068,-0.7504270163,-0.1196586988,0.6204256658,-1.001629355,0.09397264398,-0.07295982677,0.05761802926,0.3555277756,1.203731415,0.9751593291,-0.6460464807,-0.8530274891,-1.018290478,0.8380852328,2.178252124,-0.4471227406,-0.5463366254,-0.767974741,-0.3635698734,0.9039306426,0.4728139781,-0.9311171017,-1.477078404,-1.930278352,1.818212913,0.5013812381,-0.7396080555,0.7396080555
Ashburnham,0.02017562146,-0.5401472564,,-1.03713231,-0.3112402768,-0.6938552528,-0.3826747233,0.6286018366,-0.3821852306,-0.2190073778,-0.1543143814,-0.6898087522,-0.1859736972,-0.3496578118,-0.1738807894,-0.3894859381,0.9156711197,0.7334616051,-0.1353440169,-0.3954953512,0.005752507905,-1.848757822,0.9740551034,-0.5818980231,0.1244501234,0.3774419152,-0.4305518221,1.497845107,-1.412471289,-0.007582246995,-0.102848704,0.5751721603,-0.3852364832,-1.647502727,-0.7164514754,-1.365665483,1.707063148,-0.8576877375,-0.603775346,-0.3918414363,0.3140291426,-0.096843542,0.2950509345,0.5639835299,1.449508197,-0.6801921463,0.3786560134,0.9247425068,-1.043301342,1.483908058,-0.03111038059,1.803045394,-0.4110114053,0.5226401328,0.9122077494,-0.6293042389,0.02255699221,0.1134415899,-1.059374251,-0.2037156219,-0.6580205197,-0.5302604713,-1.099880823,-0.6052211001,0.3562338327,-0.284256092,-0.2247016511,-0.3685583675,-0.3336361429,-0.327924354,-0.971700912,0.821747632,-0.3317995265,-1.215516401,-0.6923433507,-0.3775420357,1.608949864,0.3961669274,1.890403209,0.01419942587,,,,0.06015066403,-0.06308478951,0.03191911213,0.07230096273,-0.211528088,-0.1475501006,-1.132132225,-0.6091630432,-1.02956153,-0.5844876282,-0.3308156372,-0.3382430168,-0.5243881986,-0.3658334366,-0.2456957206,-0.562898942,-0.4767425337,1.190606968,-0.2904127976,-0.03656580663,-0.7219432976,0.6391172656,0.6021541354,-0.08763267268,-1.856777588,2.794892029,-0.7785893333,3.092554284,-1.741196689,-1.384373291,0.3190073632,-1.429828431,-1.2959663,2.762787905,0.6569989473,0.05886151194,-1.086229086,-0.5122002442,-0.01604787793,-0.4693189901,-0.2479111122,-0.258593275,0.9932649301,-1.215789086,-0.5893601541,0.2671401755,1.095995663,-0.4405780037,-0.5132799049,-1.673727837,1.673727837
Ashby,-0.6056440042,0.1115873075,,-0.7553903756,-0.3112402768,-0.5446862897,-0.1418280691,0.5260981225,0.6183268644,-0.3402955351,-0.07556651617,-0.516433258,-0.1859736972,-0.5140580147,-0.3490083415,-0.3221169202,0.2513675356,0.08436682721,-0.7370507044,0.04381746356,-0.7034267093,-0.2065098158,0.6775512874,0.6095218255,-0.9255533173,0.2941360903,-0.003320769999,-1.897341762,0.1619041905,0.5998356308,2.25113336,-0.06261768851,1.117279652,1.568354691,0.1190034119,-1.507720041,1.57060532,-0.253339283,-0.603775346,2.869299216,0.5432253404,-0.9243705446,0.5205009179,-0.201076919,-0.1961095697,-0.1187681088,0.03449012823,0.3622389878,0.346111248,-1.302634914,0.3489710781,-0.8674979891,-1.049676481,0.7172404927,-1.538093752,-0.5626066355,-0.3227547203,-0.4023355871,-0.6990638225,-0.3665953104,-0.4193032635,-0.3497353254,-1.737215786,-0.6052211001,,,,,,,,,-0.3380837129,-0.1434965802,-0.6417539487,-0.6948219748,-0.8609480597,-0.08814358675,-0.2225904573,0.1939582793,,,,-0.6662993451,0.07050822272,-0.5015598828,-0.5544566089,0.2391326639,0.1614599549,-0.8342926749,-0.5706306539,-0.655007957,-0.7190223864,-0.880128502,-0.3382430168,-0.6818392317,-0.9968602352,-0.6580543974,-0.8354136854,-0.488642042,1.145610739,0.01688954599,2.005929379,-1.227690022,1.075769646,-1.931052569,-0.9803760744,1.058250685,0.1277731303,0.8435199173,-1.08304071,-0.9509792277,-0.843626546,-0.7766050094,,,,,,,,,,,,0.09992205492,-1.67275641,0.5647692025,1.113223986,0.356211342,-0.8956772924,-0.5132799049,0.6114328793,-0.6114328793
