,8,9,10,11,12,13,16,17,18,19,23,24,25,26,27,28,32,33,34,35,36,37
0,-0.017265277477954644,-0.008123918756041182,0.010468661478779671,-0.02390529451126422,0.0022264698379743306,-0.02559382652149028,-0.10068038972649428,1.1630612038417178,0.0001195635472872554,0.002839755290115009,-1.7393033959340605,-0.0003116701680911686,-0.0001531636125356125,0.0017774928774920704,0.024621398218919833,-0.05590867331414305,73.5378517585998,-1.2279202279202224,-10.75783475783476,-38.105413105413106,-48.52706552706553,-57.4045584045584
1,0.014334722522045347,0.004576081243958807,0.03946866147877981,9.470548873577456e-05,-0.0027735301620256674,0.012406173478509723,6.813837000273505,1.129409090841718,0.0001195635472872554,-0.001135680800442602,0.1428736235158311,0.0009257118319088318,0.0001835253874643873,0.020977492877492177,0.062231475608998964,0.08642301212585696,-42.90594824140021,-11.227920227920222,-6.7578347578347575,18.89458689458689,28.47293447293447,7.595441595441599
2,-0.03686527747795465,-0.0591239187560412,-0.0895313385212203,9.470548873577456e-05,0.0022264698379743306,-0.02959382652149028,-3.7569875197264944,1.783716615841718,0.0001195635472872554,-0.001914479292910969,-0.6162897039700062,-0.0007120291680911698,0.00021979338746438764,-0.05742250712250785,0.14811630405405413,0.03957565397585695,466.18655175859976,0.7720797720797776,-31.757834757834765,-11.105413105413106,-26.52706552706553,5.595441595441599
3,-0.025665277477954638,-0.03202391875604118,0.014468661478779787,-0.016905294511264227,0.007226469837974334,-0.015593826521490288,0.9378481612735056,0.9422693268417178,-0.00012401214385876822,-0.00011841470217953225,0.42868569722928057,-0.00045770516809116776,0.0005933283874643876,-0.00692250712250797,-0.09545938709196948,-0.05843902741414304,-1498.3072482414004,8.772079772079778,-16.757834757834758,-16.105413105413106,-31.52706552706553,-6.404558404558401
4,-0.06706527747795465,-0.0054239187560412025,-0.05253133852122027,-0.003905294511264229,0.008226469837974329,-0.011593826521490285,0.11898147227350543,1.783716615841718,8.406730988841966e-05,0.0013106817127601488,0.17041609414577766,-0.0003991401680911678,-0.00019043461253561266,0.022277492877492144,0.04162759185754697,0.006383153605856964,-455.0952482414002,-16.227920227920222,8.242165242165242,-4.105413105413107,-36.52706552706553,-131.4045584045584
5,-0.02050201360456977,-0.005409629783892672,0.004717798088718528,0.04524507352186108,-0.01900582922411189,-0.004824244888998755,-3.7569875197264944,-1.6351737607880992,0.0001195635472872554,-0.0036555959980555455,0.9158370795213278,1.3880831908832587e-05,-0.0004356616125356129,0.0003774928774921138,-0.15027234565442998,0.07227478370585695,336.9524392364971,90.77207977207978,88.24216524216524,89.89458689458691,86.47293447293447,68.5954415954416
6,-0.0032652774779546308,-0.004823918756041185,0.017468661478779682,0.0010947054887357618,-0.0077735301620256705,-0.01259382652149027,5.989601174273505,0.42333334284171786,0.0001195635472872554,0.0030719151020585467,-0.4965922990097456,-0.0002555951680911685,-0.0006197456125356126,-0.012622507122507898,0.030413855843131343,0.01949307139585696,-533.4122482414002,-15.227920227920222,-20.75783475783476,-43.10541310541311,-34.52706552706553,29.595441595441603
7,-0.035165277477954636,0.0991760812439588,0.14346866147877976,0.03609470548873577,-0.019773530162025668,-0.007593826521490278,0.6677912412735063,0.8719087038417179,0.0001195635472872554,-0.0048994990431453795,0.7397541696254681,0.0008193178319088307,-0.0002822216125356125,0.031577492877492015,0.07265219981297147,0.09095002104585696,296.74745175859977,4.7720797720797785,18.24216524216524,0.8945868945868938,42.47293447293447,-1.4045584045584008
8,-0.020965277477954646,0.049276081243958825,0.034468661478779805,0.0030947054887357638,-0.0027735301620256674,0.015406173478509713,-3.7569875197264944,1.090395607841718,6.258186689750071e-05,-0.0008862308744902172,0.4599836364032902,0.00033955883190882937,0.00023609938746438746,0.045777492877492,0.11962546385917674,0.07610347927585695,273.2033517585997,-16.227920227920222,-2.757834757834757,14.894586894586894,28.47293447293447,28.595441595441603
