,8,9,10,11,12,13,16,17,18,19,23,24,25,26,27,28,32,33,34,35,36,37
0,-0.3890763364211584,-0.09460246372396028,0.13306375717875385,-0.9231223789643092,0.1876559130049936,-0.5290893966429671,-0.012730548875909744,0.14009616208827338,0.1832862978127036,0.9621497175388172,-2.3075140561344125,-0.6411746568530855,-0.4833734461089044,0.050730988906563836,0.09098303748829482,-0.4941707254325672,0.1635110612058318,-0.03301686562659484,-0.2831809338571848,-0.9285381510465246,-1.2958809768573047,-0.7648440974510958
1,0.3230357189227169,0.053288144906371036,0.501673341699745,0.003657129428861506,-0.23376437709811676,0.2564671146333331,0.8615767698169453,0.1360426076735201,0.1832862978127036,-0.384784902122976,0.1895488132112721,1.9043945392789905,0.5791930440822314,0.5987134868057017,0.2299629220055666,0.7638836707201678,-0.09540117043429147,-0.3019013165531572,-0.17788802306918494,0.4604160760927515,0.7603495850825985,0.10119977983049397
2,-0.8307660922673598,-0.6884938842079686,-1.1380037756522436,0.003657129428861506,0.1876559130049936,-0.6117795557246828,-0.4750529211894268,0.2148570095082596,0.1832862978127036,-0.6486529727825956,-0.8176245489350031,-1.4648019100329799,0.693652267479053,-1.6388817129490996,0.5473316797265502,0.34980493142501706,1.0365635652257388,0.020760024558717644,-0.8359687154941841,-0.27061246450686754,-0.708386530588761,0.07455227591413734
3,-0.5783719460695301,-0.37291628626450535,0.1839064584919952,-0.6528116890163014,0.6090762031081045,-0.3223639989386776,0.11858636908049815,0.11350074777491305,-0.19010582445401286,-0.04012059512700682,0.5687324444560838,-0.9416010389704476,1.8725021078764108,-0.1975735804539828,-0.3527494627711413,-0.5165362520508129,-3.331478990935998,0.2358675852999676,-0.4411203000391846,-0.39245055460680395,-0.8419079956497937,-0.0853327475840023
4,-1.5113288793365065,-0.06316115322774833,-0.6677087885047741,-0.15080612197000048,0.6933602611287261,-0.2396738398569617,0.015044632348169825,0.2148570095082596,0.12887193752710074,0.4440777147612592,0.2260890961014461,-0.8211198456352649,-0.6009980660279217,0.6358164684342881,0.15382573795554288,0.05642000535820069,-1.0119021049725,-0.4363435420164384,0.21696039238581452,-0.10003913836695642,-0.9754294607108264,-1.7508017423562905
5,-0.4620168052733632,-0.06299475914997289,0.05996639977022256,1.7471752914918035,-1.601888413055082,-0.09972939433011534,-0.4750529211894268,-0.19696432782486398,0.1832862978127036,-1.238568220722542,1.215030649089052,0.028555949677473432,-1.3749170021681043,0.01077393176808649,-0.5552988638811276,0.6388290076876181,0.7492121349466825,2.4407200828977795,2.322818608145812,2.1905169555118498,2.3091985797905776,0.9139486492793704
6,-0.07358365367387147,-0.056174195339700965,0.22203848447692376,0.04227294227857646,-0.6551846672012276,-0.26034637962739043,0.75735613165023,0.050992481238498186,0.1832862978127036,1.04080878307974,-0.6588233615893736,-0.5258159457411523,-1.9558729876037584,-0.3602558845177864,0.11238780843132036,0.17229715286702485,-1.186039579405313,-0.4094550969237822,-0.5464132108271844,-1.050376241146461,-0.9220208746864132,0.39432232291041663
7,-0.7924562665051891,1.1548985052551393,1.8235835758439816,1.3938263920186178,-1.666593363448693,-0.1569836807752459,0.08443897623987504,0.10502548163080963,0.1832862978127036,-1.6600203675483296,0.9814234529094904,1.6855184856001113,-0.8906712969180716,0.9012454908541776,0.2684704483643522,0.8038974136588718,0.6598165378348945,0.1283138049293426,0.4801926693558142,0.021798951732980076,1.13420968725349,-0.018713987793110787
8,-0.4724565454329414,0.5738165075658843,0.438119965058195,0.11950456797800744,-0.23376437709811676,0.3184847339446197,-0.4750529211894268,0.1313432511650728,0.09593558366324044,-0.30026769860525826,0.6102550647998923,0.6985478233736269,0.7451128414480761,1.3065242132587458,0.44204995857995705,0.6726704343416956,0.6074663442397161,-0.4363435420164384,-0.07259511228118508,0.36294560401280224,0.7603495850825985,0.3809985709522383
